ato_bad|unit_weight|radd_timezone_3_2|radd_max_pmt_s_3|SNR1wRtDolDclTxn|max_cross20wRtDclAcc|login_VIDMatch|seg|dollar_weight|ip_asp_spoof_txns|vid_asp_spoof_txns|Intercept|time_window|wSNR1wRtDolDclTxn_s1|wip_asp_spoof_txns_s1|wlogin_VIDMatch_s1|wmax_cross20wRtDclAcc_s1|wradd_max_pmt_s_3_s1|wradd_timezone_3_2_s1|wvid_asp_spoof_txns_s1|new_score|align_new_score|wSNR1wRtDolDclTxn_s2|wip_asp_spoof_txns_s2|wlogin_VIDMatch_s2|wmax_cross20wRtDclAcc_s2|wradd_max_pmt_s_3_s2|wradd_timezone_3_2_s2
1|1||3374.78|0|0.1111|0|2|6|0|0|1|DEV|-0.105449|-0.119505|0.209014|0.316717|-0.544985|-0.199666|-0.090233|8.8172590402|337||||||
0|2|||0.0655|0.0862|2|2|394|0|0|1|DEV|0.089438|-0.119505|1.153454|0.316717|0.85329|-0.199666|-0.090233|6.2995001439|482||||||
0|2||202.63|0.0655|0.2|1|1|798|0|0|1|DEV|0.089438|-0.119505|-0.134574|0.316717|0.043156|-0.199666|-0.090233|8.37993596|362||||||
0|50||504.00|0.0655|0.067|0|1|1750|4158|0|1|DEV|0.089438|1.415797|0.209014|-0.038997|-0.203081|-0.199666|-0.090233|7.559264377|410||||||
0|2|||0|0.0913|2|1|454|0|0|1|DEV|-0.105449|-0.119505|1.153454|0.316717|0.85329|-0.199666|-0.090233|6.429021629|475||||||
1|1||10000.00|0.0655|0.0366|1|1|15|0|0|1|DEV|0.089438|-0.119505|-0.134574|-0.038997|-0.544985|-0.199666|-0.090233|9.27894452|310||||||
0|10|-700|54.07|0.0655|0.0423|2|2|520|0|0|1|DEV|0.089438|-0.119505|1.153454|-0.038997|0.043156|0.355722|-0.090233|6.9814546601|443||||||
0|200|100|133.00|0.0655|0.0746|0|1|2400|0|0|1|DEV|0.089438|-0.119505|0.209014|0.316717|0.043156|0.806779|-0.090233|7.2319115901|428||||||
0|2||66.46|0|0.0297|0|2|50|0|0|1|DEV|-0.105449|-0.119505|0.209014|-0.176481|0.043156|-0.199666|-0.090233|8.5580053685|352||||||
0|2||40.22|0|0.092|1|1|674|0|0|1|DEV|-0.105449|-0.119505|-0.134574|0.316717|0.262126|-0.199666|-0.090233|8.2745543887|368||||||
0|500||69.64|0|0.039|1|1|6500|0|0|1|DEV|-0.105449|-0.119505|-0.134574|-0.038997|0.043156|-0.199666|-0.090233|8.7775297192|339||||||
0|100||155.95|0|0.125|0|2|9300|0|0|1|DEV|-0.105449|-0.119505|0.209014|0.316717|0.043156|-0.199666|-0.090233|8.1863227543|373||||||
0|10||20.00|0|0.0297|1|1|200|0|0|1|DEV|-0.105449|-0.119505|-0.134574|-0.176481|0.262126|-0.199666|-0.090233|8.6462370028|347||||||
0|10||175.67|0.0655|0.1|1|1|200|0|0|1|DEV|0.089438|-0.119505|-0.134574|0.316717|0.043156|-0.199666|-0.090233|8.37993596|362||||||
0|2|||0.0655|0.0297|1|1|2956|0|0|1|DEV|0.089438|-0.119505|-0.134574|-0.176481|0.85329|-0.199666|-0.090233|7.8825362674|391||||||
0|10|9999|38.51|0|0.0464|2|1|190|0|0|1|DEV|-0.105449|-0.119505|1.153454|-0.038997|0.262126|0.394738|-0.090233|6.84409529|451||||||
0|10||448.90|0.0655|0.0285|2|2|330|0|0|1|DEV|0.089438|-0.119505|1.153454|-0.176481|-0.203081|-0.199666|-0.090233|7.8044191678|395||||||
0|10|||0|0.1667|0|2|610|0|0|1|DEV|-0.105449|-0.119505|0.209014|0.316717|0.85329|-0.199666|-0.090233|7.3172404475|424||||||
0|100||60.09|0|0.0366|0|2|11600|0|0|1|DEV|-0.105449|-0.119505|0.209014|-0.038997|0.043156|-0.199666|-0.090233|8.4543950283|358||||||
0|25|-500|240.00|0.6973|0.0297|1|1|1225|0|0|1|DEV|0.798008|-0.119505|-0.134574|-0.176481|-0.203081|0.355722|-0.090233|8.0896584997|379||||||
0|10||42.38|0|0.069|1|1|200|0|0|1|DEV|-0.105449|-0.119505|-0.134574|-0.038997|0.262126|-0.199666|-0.090233|8.5426266627|353||||||
0|2||374.90|0|0.0297|1|1|58|0|0|1|DEV|-0.105449|-0.119505|-0.134574|-0.176481|-0.203081|-0.199666|-0.090233|9.1452941622|318||||||
0|500|||0.0655|0.0299|2|2|3500|0|0|1|DEV|0.089438|-0.119505|1.153454|-0.176481|0.85329|-0.199666|-0.090233|6.6711827581|461||||||
0|100|-400|109.99|0|0.0466|1|1|600|0|0|1|DEV|-0.105449|-0.119505|-0.134574|-0.038997|0.043156|0.355722|-0.090233|8.3223296545|366||||||
0|100||12.99|0|0.3333|1|1|105200|0|0|1|DEV|-0.105449|-0.119505|-0.134574|0.316717|0.262126|-0.199666|-0.090233|8.2745543887|368||||||
0|100||5722.32|0|0.0366|1|1|478500|0|0|1|DEV|-0.105449|-0.119505|-0.134574|-0.038997|-0.544985|-0.199666|-0.090233|9.408466005|303||||||
0|1000||44.74|0|0.1333|1|1|4000|0|0|1|DEV|-0.105449|-0.119505|-0.134574|0.316717|0.262126|-0.199666|-0.090233|8.2745543887|368||||||
1|1|-500|272.90|0|0.0366|0|2|12|300|0|1|DEV|-0.105449|1.659303|0.209014|-0.038997|-0.203081|0.355722|-0.090233|7.0702605789|438||||||
1|1|-700||0.0655|0.0366|2|2|80|0|0|1|DEV|0.089438|-0.119505|1.153454|-0.038997|0.85329|0.355722|-0.090233|6.1123723533|493||||||
1|25|400|10.00|0.0655|0.0644|0|2|3650|0|0|1|DEV|0.089438|-0.119505|0.209014|-0.038997|0.653211|0.806779|-0.090233|6.8455390356|451||||||
1|1||84.78|0.0655|0.0662|1|1|5|0|0|1|DEV|0.089438|-0.119505|-0.134574|-0.038997|0.043156|-0.199666|-0.090233|8.6480082341|347||||||
0|25||36.78|0|0.0297|1|1|575|0|0|1|DEV|-0.105449|-0.119505|-0.134574|-0.176481|0.262126|-0.199666|-0.090233|8.6462370028|347||||||
0|2||418.88|0|0.0487|0|1|506|0|0|1|DEV|-0.105449|-0.119505|0.209014|-0.038997|-0.203081|-0.199666|-0.090233|8.7185491312|343||||||
0|10|-400|30.00|0.0655|0.051|2|2|95000|0|0|1|DEV|0.089438|-0.119505|1.153454|-0.038997|0.262126|0.355722|-0.090233|6.7465516037|456||||||
1|25|400|10.00|0.0655|0.0644|0|2|3650|0|0|1|DEV|0.089438|-0.119505|0.209014|-0.038997|0.653211|0.806779|-0.090233|6.8455390356|451||||||
0|400||59.90|0.0655|0.2|0|2|8800|0|0|1|DEV|0.089438|-0.119505|0.209014|0.316717|0.043156|-0.199666|-0.090233|8.0568012692|381||||||
0|2||11.27|0.0655|0.0665|0|1|380|0|0|1|DEV|0.089438|-0.119505|0.209014|-0.038997|0.262126|-0.199666|-0.090233|8.0899704868|379||||||
0|25||114.99|0|0.0635|1|1|625|0|0|1|DEV|-0.105449|-0.119505|-0.134574|-0.038997|0.043156|-0.199666|-0.090233|8.7775297192|339||||||
0|2||33.05|0.0655|0.0366|1|1|126|0|0|1|DEV|0.089438|-0.119505|-0.134574|-0.038997|0.262126|-0.199666|-0.090233|8.4131051776|360||||||
0|2||109.26|0|0.0268|1|1|332|0|0|1|DEV|-0.105449|-0.119505|-0.134574|-0.340624|0.043156|-0.199666|-0.090233|9.0048410867|326||||||
1|1|800|182.62|0|0.0366|0|2|80|0|0|1|DEV|-0.105449|-0.119505|0.209014|-0.038997|0.043156|0.956686|-0.090233|7.5066404762|413||||||
0|400|-400|356.33|0.0655|0.0468|0|1|6800|0|0|1|DEV|0.089438|-0.119505|0.209014|-0.038997|-0.203081|0.355722|-0.090233|8.1338275815|376||||||
0|100||5061.75|0|0.0297|0|2|17400|0|0|1|DEV|-0.105449|-0.119505|0.209014|-0.176481|-0.544985|-0.199666|-0.090233|9.1889416543|315||||||
0|50||228.75|0|0.065|0|2|2750|0|0|1|DEV|-0.105449|-0.119505|0.209014|-0.038997|-0.203081|-0.199666|-0.090233|8.7185491312|343||||||
0|25||18.93|0|0.053|1|1|25|724.5|724.5|1|DEV|-0.105449|1.659303|-0.134574|-0.038997|0.262126|-0.199666|3.219727|4.6652439267|577||||||
0|100|||0|0.0366|2|2|45000|0|0|1|DEV|-0.105449|-0.119505|1.153454|-0.038997|0.85329|-0.199666|-0.090233|6.6970939031|459||||||
0|500||292.97|0|0.0404|1|1|31000|0|0|1|DEV|-0.105449|-0.119505|-0.134574|-0.038997|-0.203081|-0.199666|-0.090233|9.0416838221|324||||||
1|1||179.45|0|0.1818|1|1|45|4354|13421|1|DEV|-0.105449|1.415797|-0.134574|0.316717|0.043156|-0.199666|3.219727|4.7953999276|569||||||
0|100||183.40|0|0.0331|0|2|63900|0|0|1|DEV|-0.105449|-0.119505|0.209014|-0.098116|0.043156|-0.199666|-0.090233|8.4989481378|355||||||
0|100|-700|99.11|0|0.0785|0|2|100|23750|0|1|DEV|-0.105449|0.841029|0.209014|0.316717|0.043156|0.355722|-0.090233|7.0868698768|437||||||
0|10||252.91|0.0655|0.0501|2|2|280|1218.5|0|1|DEV|0.089438|1.659303|1.153454|-0.038997|-0.203081|-0.199666|-0.090233|6.50772034|470||||||
